evidence_id,car_id,car_code,theme,source_name,source_url,download_date,source_version,geometry_operation,area_ha,percent_of_property,confidence,interpretation,limitation,created_at
EV-CAR03-IBAMA-001,CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,17.4569,17.3733,Alta,Sobreposição de 17.46 ha (17.37%) com Embargos IBAMA.,,2026-06-14T18:02:41.697328+00:00
EV-CAR04-TI-001,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,terras_indigenas,FUNAI,https://geoserver.funai.gov.br/geoserver/Funai/ows,2026-06-14,,intersection,100.4812,100.0,Alta,Sobreposição de 100.48 ha (100.00%) com Terras Indígenas.,,2026-06-14T18:02:41.781105+00:00
EV-CAR01-UC-001,CAR_01,RS431940647EE57C13C9749C7994C7046FA96E109,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com unidades_conservacao na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:41.829788+00:00
EV-CAR02-UC-001,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com unidades_conservacao na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:41.839017+00:00
EV-CAR03-UC-001,CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com unidades_conservacao na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:41.849968+00:00
EV-CAR04-UC-001,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,unidades_conservacao,ICMBio / CNUC,https://dadosabertos.mma.gov.br/,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com unidades_conservacao na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:41.859001+00:00
EV-CAR01-DESM-001,CAR_01,RS431940647EE57C13C9749C7994C7046FA96E109,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com desmatamento na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:42.353906+00:00
EV-CAR02-DESM-001,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com desmatamento na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:42.363853+00:00
EV-CAR03-DESM-001,CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com desmatamento na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:42.375847+00:00
EV-CAR04-DESM-001,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,desmatamento,MapBiomas Alerta,http://production.alerta.mapbiomas.org/geoserver/mapbiomas-alertas/wfs,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com desmatamento na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T18:02:42.386457+00:00
EV-CAR04-IBAMA-001,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,138.7706,1.546,Alta,Sobreposição de 138.77 ha (1.55%) com Embargos IBAMA.,,2026-06-14T20:50:55.960919+00:00
EV-CAR04-IBAMA-002,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,25.5954,0.2852,Alta,Sobreposição de 25.60 ha (0.29%) com Embargos IBAMA.,,2026-06-14T20:50:55.985852+00:00
